============================================================
  WOUND DETECTION - YOLO26m - METRICS REPORT
============================================================
  Model         : YOLO26m
  Dataset       : AZH Clinical Wound Dataset
  Run           : runs
  Total Epochs  : 200

  BEST EPOCH BY mAP50
  --------------------------------------------------
  Epoch         : 145
  Box Loss      : 0.2732
  Class Loss    : 0.5880
  mAP50         : 0.8771  (87.7%)
  mAP50-95      : 0.7923  (79.2%)
  Precision     : 0.8276
  Recall        : 0.7996
  F1 Score      : 0.8134

  BEST EPOCH BY F1
  --------------------------------------------------
  Epoch         : 145
  Precision     : 0.8276
  Recall        : 0.7996
  F1 Score      : 0.8134

  CONFIDENCE THRESHOLD RECOMMENDATIONS
  --------------------------------------------------
  Conservative (high precision) : 0.50
  Balanced     (best F1)        : 0.35
  Sensitive    (high recall)    : 0.25  <- medical use

  FULL TRAINING HISTORY
  --------------------------------------------------
  Epoch   BoxLoss   ClsLoss    mAP50     Prec      Rec       F1
      1    1.1348    4.2447   0.1441   0.0765   0.7278   0.1384
      2    0.9586    1.8082   0.3487   0.4526   0.3081   0.3666
      3    0.8433    1.6294   0.4867   0.3952   0.6071   0.4787
      4    0.7895    1.4932   0.3502   0.3434   0.5200   0.4137
      5    0.7526    1.4217   0.2720   0.4895   0.2638   0.3429
      6    0.7812    1.4563   0.5169   0.4752   0.5566   0.5127
      7    0.7178    1.3761   0.4215   0.3533   0.4466   0.3946
      8    0.7355    1.3802   0.5726   0.5223   0.5660   0.5433
      9    0.6987    1.3308   0.6470   0.5444   0.6399   0.5883
     10    0.7070    1.2996   0.5078   0.4914   0.4620   0.4762
     11    0.6475    1.2550   0.6725   0.5332   0.7466   0.6221
     12    0.6362    1.2233   0.5584   0.4416   0.6262   0.5180
     13    0.6126    1.2244   0.5926   0.4429   0.7107   0.5457
     14    0.6137    1.2439   0.4828   0.6487   0.4468   0.5291
     15    0.6051    1.2469   0.3442   0.3502   0.4544   0.3956
     16    0.6337    1.3163   0.6121   0.5883   0.5354   0.5606
     17    0.6383    1.2500   0.6746   0.6351   0.6016   0.6179
     18    0.6200    1.2362   0.5936   0.5356   0.5832   0.5584
     19    0.5651    1.1750   0.6262   0.5541   0.6903   0.6147
     20    0.5674    1.1616   0.6478   0.6484   0.5966   0.6214
     21    0.5716    1.1836   0.6046   0.5573   0.6405   0.5960
     22    0.5730    1.1397   0.6923   0.5473   0.6901   0.6105
