============================================================
  WOUND DETECTION - YOLO26m - METRICS REPORT
============================================================
  Model         : YOLO26m
  Dataset       : AZH Clinical Wound Dataset
  Run           : runs
  Total Epochs  : 300

  BEST EPOCH BY mAP50
  --------------------------------------------------
  Epoch         : 226
  Box Loss      : 0.2509
  Class Loss    : 0.4110
  mAP50         : 0.8694  (86.9%)
  mAP50-95      : 0.8403  (84.0%)
  Precision     : 0.8234
  Recall        : 0.8019
  F1 Score      : 0.8125

  BEST EPOCH BY F1
  --------------------------------------------------
  Epoch         : 203
  Precision     : 0.8377
  Recall        : 0.8004
  F1 Score      : 0.8186

  CONFIDENCE THRESHOLD RECOMMENDATIONS
  --------------------------------------------------
  Conservative (high precision) : 0.50
  Balanced     (best F1)        : 0.35
  Sensitive    (high recall)    : 0.25  <- medical use

  FULL TRAINING HISTORY
  --------------------------------------------------
  Epoch   BoxLoss   ClsLoss    mAP50     Prec      Rec       F1
      1    1.0409    5.9215   0.1943   0.2314   0.3106   0.2652
      2    0.8317    2.4690   0.3178   0.3035   0.1847   0.2296
      3    0.8772    1.7929   0.3877   0.4601   0.4138   0.4357
      4    0.9028    1.6403   0.3818   0.4168   0.2922   0.3435
      5    0.7801    1.4211   0.5558   0.4833   0.5560   0.5171
      6    0.7692    1.3600   0.4243   0.3503   0.5188   0.4182
      7    0.7627    1.3456   0.4910   0.4163   0.5135   0.4598
      8    0.7128    1.3027   0.4872   0.4424   0.5510   0.4907
      9    0.7114    1.2440   0.6546   0.5936   0.6951   0.6403
     10    0.7322    1.2607   0.5005   0.4981   0.5662   0.5300
     11    0.6809    1.2507   0.5695   0.4347   0.6302   0.5145
     12    0.6693    1.2160   0.6929   0.5675   0.6904   0.6230
     13    0.6313    1.2273   0.6307   0.4723   0.6512   0.5476
     14    0.6254    1.1917   0.5574   0.5341   0.6171   0.5726
     15    0.6764    1.2196   0.5919   0.5792   0.5987   0.5888
     16    0.5880    1.1400   0.7309   0.5907   0.7217   0.6496
     17    0.6154    1.1599   0.6916   0.5762   0.7663   0.6578
     18    0.6076    1.1588   0.7243   0.6128   0.7491   0.6741
     19    0.5791    1.1332   0.7220   0.6278   0.6832   0.6543
     20    0.5447    1.0743   0.6821   0.5423   0.7308   0.6226
     21    0.5621    1.0584   0.6642   0.5153   0.7510   0.6113
     22    0.5853    1.0982   0.6700   0.5649   0.6619   0.6096
     23    0.6198    1.1604   0.7154   0.6190   0.6766   0.6465
     24    0.5740    1.0909   0.4867   0.5178   0.5668   0.5412
     25    0.5392    1.0767   0.7312   0.5639   0.8178   0.6675
     26    0.5743    1.0894   0.7358   0.7203   0.6824   0.7008
     27    0.5492    1.0715   0.6879   0.5931   0.6279   0.6100
     28    0.5405    1.0643   0.6766   0.5851   0.7106   0.6418
     29    0.5054    1.0272   0.5940   0.4994   0.5506   0.5238
     30    0.5359    1.0595   0.7511   0.6819   0.6435   0.6622
     31    0.5071    1.0258   0.7254   0.6348   0.7938   0.7054
     32    0.5520    1.1083   0.7288   0.7138   0.6688   0.6906
     33    0.4995    1.0290   0.6427   0.5474   0.6316   0.5865
     34    0.5372    1.0683   0.6373   0.5185   0.6436   0.5743
     35    0.5200    1.0459   0.6262   0.7766   0.5261   0.6273
     36    0.4872    1.0146   0.7518   0.6346   0.7085   0.6695
     37    0.5410    1.0176   0.7235   0.5847   0.7506   0.6573
     38    0.5152    0.9768   0.7454   0.6951   0.6785   0.6867
     39    0.4716    0.9711   0.7271   0.5977   0.7916   0.6811
     40    0.5105    1.0159   0.7526   0.6897   0.6497   0.6691
     41    0.5050    0.9777   0.7227   0.6580   0.6648   0.6614
     42    0.4734    0.9750   0.7380   0.7076   0.6957   0.7016
     43    0.4558    0.9203   0.7205   0.6677   0.6786   0.6731
     44    0.4528    0.9256   0.6558   0.6147   0.6499   0.6318
     45    0.4669    0.9547   0.7289   0.7224   0.6693   0.6948
     46    0.4772    0.9552   0.6754   0.5912   0.6598   0.6236
     47    0.4724    0.9291   0.7409   0.6820   0.7237   0.7022
     48    0.4717    0.9261   0.7567   0.6498   0.7452   0.6942
     49    0.4331    0.8829   0.7446   0.7472   0.6354   0.6868
     50    0.4903    0.9615   0.7695   0.6929   0.6599   0.6760
     51    0.4709    0.9847   0.7402   0.6002   0.7480   0.6660
     52    0.4378    0.9181   0.7519   0.7564   0.6463   0.6971
     53    0.4729    0.9431   0.8101   0.6219   0.8105   0.7038
     54    0.4524    0.9211   0.7762   0.7615   0.6905   0.7242
     55    0.4427    0.8624   0.7372   0.7294   0.6506   0.6877
     56    0.4558    0.9076   0.7334   0.6445   0.6953   0.6689
