============================================================
  WOUND DETECTION - YOLO26m - METRICS REPORT
============================================================
  Model         : YOLO26m
  Dataset       : AZH Clinical Wound Dataset
  Run           : runs
  Total Epochs  : 150

  BEST EPOCH BY mAP50
  --------------------------------------------------
  Epoch         : 117
  Box Loss      : 0.1599
  Class Loss    : 0.4807
  mAP50         : 0.8452  (84.5%)
  mAP50-95      : 0.7985  (79.8%)
  Precision     : 0.7469
  Recall        : 0.8222
  F1 Score      : 0.7827

  BEST EPOCH BY F1
  --------------------------------------------------
  Epoch         : 133
  Precision     : 0.7509
  Recall        : 0.8313
  F1 Score      : 0.7890

  CONFIDENCE THRESHOLD RECOMMENDATIONS
  --------------------------------------------------
  Conservative (high precision) : 0.50
  Balanced     (best F1)        : 0.35
  Sensitive    (high recall)    : 0.25  <- medical use

  FULL TRAINING HISTORY
  --------------------------------------------------
  Epoch   BoxLoss   ClsLoss    mAP50     Prec      Rec       F1
      1    1.1506    4.2190   0.0676   0.0340   0.6598   0.0647
      2    0.8877    1.6020   0.5398   0.6420   0.4627   0.5378
      3    0.7369    1.4510   0.5778   0.4485   0.5956   0.5117
      4    0.7473    1.3360   0.5386   0.4496   0.6341   0.5262
      5    0.7450    1.2673   0.6520   0.5441   0.7400   0.6271
      6    0.6385    1.2335   0.6648   0.5154   0.6858   0.5885
      7    0.6088    1.1781   0.7057   0.5198   0.7681   0.6200
      8    0.6482    1.2435   0.6846   0.5553   0.7658   0.6438
      9    0.5653    1.1707   0.6756   0.5197   0.7589   0.6169
     10    0.6151    1.1346   0.6790   0.5133   0.7520   0.6101
     11    0.5866    1.1103   0.7210   0.5727   0.8464   0.6832
     12    0.5457    1.1250   0.7014   0.5177   0.8272   0.6368
     13    0.5364    1.0981   0.7048   0.5762   0.7320   0.6448
     14    0.5710    1.1188   0.7432   0.5878   0.7217   0.6479
     15    0.5317    1.0603   0.7286   0.6185   0.7396   0.6737
     16    0.4823    1.0435   0.7271   0.6736   0.7473   0.7085
     17    0.4974    1.0086   0.7488   0.5853   0.7895   0.6723
     18    0.4994    1.0619   0.7241   0.5673   0.7838   0.6582
     19    0.5066    1.0070   0.7393   0.6033   0.7519   0.6695
     20    0.5215    1.0490   0.7177   0.6057   0.7323   0.6630
     21    0.4713    1.0124   0.7259   0.5864   0.7795   0.6693
     22    0.4369    0.9808   0.7612   0.6145   0.7611   0.6800
     23    0.4321    1.0078   0.7466   0.6052   0.8018   0.6897
     24    0.4272    0.9946   0.7562   0.6644   0.7772   0.7164
     25    0.4168    1.0195   0.7346   0.5173   0.8289   0.6370
     26    0.4542    0.9837   0.7108   0.5719   0.7941   0.6649
     27    0.4293    0.9992   0.7630   0.5831   0.8476   0.6909
     28    0.4208    0.9603   0.7759   0.6583   0.8143   0.7281
     29    0.3948    0.9629   0.7650   0.6784   0.7425   0.7090
     30    0.4046    0.9798   0.7858   0.6514   0.7637   0.7031
     31    0.4226    0.9605   0.7412   0.5385   0.7180   0.6154
     32    0.4101    0.9979   0.7633   0.6155   0.8124   0.7004
     33    0.3912    0.9229   0.7879   0.6742   0.8013   0.7323
     34    0.4210    0.9672   0.7307   0.6311   0.7732   0.6950
