============================================================
  WOUND DETECTION - YOLO26m - METRICS REPORT
============================================================
  Model         : YOLO26m
  Dataset       : AZH Clinical Wound Dataset
  Run           : runs
  Total Epochs  : 250

  BEST EPOCH BY mAP50
  --------------------------------------------------
  Epoch         : 122
  Box Loss      : 0.3301
  Class Loss    : 0.5826
  mAP50         : 0.8932  (89.3%)
  mAP50-95      : 0.8822  (88.2%)
  Precision     : 0.8502
  Recall        : 0.8312
  F1 Score      : 0.8406

  BEST EPOCH BY F1
  --------------------------------------------------
  Epoch         : 190
  Precision     : 0.8880
  Recall        : 0.8107
  F1 Score      : 0.8476

  CONFIDENCE THRESHOLD RECOMMENDATIONS
  --------------------------------------------------
  Conservative (high precision) : 0.50
  Balanced     (best F1)        : 0.35
  Sensitive    (high recall)    : 0.25  <- medical use

  FULL TRAINING HISTORY
  --------------------------------------------------
  Epoch   BoxLoss   ClsLoss    mAP50     Prec      Rec       F1
      1    1.1306    6.1086   0.0467   0.7051   0.0374   0.0711
      2    0.6989    3.1932   0.1404   0.1606   0.2600   0.1985
      3    0.7244    2.2201   0.1770   0.1765   0.3299   0.2299
      4    0.7872    1.8537   0.2648   0.2084   0.3201   0.2525
      5    0.7675    1.6984   0.3034   0.2842   0.5384   0.3720
      6    0.7752    1.6217   0.2950   0.2680   0.4654   0.3401
      7    0.7590    1.5274   0.4168   0.2821   0.6197   0.3877
      8    0.7182    1.4663   0.5937   0.4770   0.6283   0.5423
      9    0.6811    1.4234   0.5996   0.4746   0.6862   0.5611
     10    0.6764    1.3646   0.6202   0.4701   0.7442   0.5762
     11    0.6580    1.2812   0.5621   0.3714   0.6131   0.4626
     12    0.6309    1.2927   0.5357   0.4019   0.6129   0.4855
     13    0.6099    1.2503   0.5640   0.4368   0.6534   0.5236
     14    0.6009    1.2494   0.6053   0.4787   0.6345   0.5457
     15    0.5859    1.2238   0.6337   0.4528   0.7428   0.5626
     16    0.6036    1.2421   0.7122   0.5757   0.7028   0.6330
     17    0.5993    1.1540   0.6881   0.4587   0.7235   0.5614
     18    0.5657    1.1634   0.6488   0.5723   0.5954   0.5836
     19    0.5361    1.0965   0.6747   0.6529   0.6425   0.6477
     20    0.5613    1.1286   0.6364   0.5922   0.5569   0.5740
     21    0.5507    1.0985   0.6734   0.5649   0.6826   0.6182
     22    0.5260    1.0606   0.6436   0.5469   0.6013   0.5728
     23    0.5282    1.0880   0.7256   0.6415   0.6047   0.6226
     24    0.5314    1.0843   0.4832   0.4535   0.5285   0.4881
     25    0.5259    1.0096   0.7853   0.6707   0.7146   0.6920
     26    0.5214    1.0420   0.6753   0.5887   0.5902   0.5894
     27    0.5292    1.0124   0.7292   0.6454   0.6587   0.6520
     28    0.5202    1.0271   0.7199   0.5763   0.7025   0.6332
     29    0.5039    0.9899   0.7318   0.6392   0.7638   0.6960
     30    0.4898    0.9731   0.7486   0.6802   0.6903   0.6852
     31    0.5029    1.0165   0.7088   0.6643   0.6830   0.6735
     32    0.4951    0.9569   0.6866   0.5311   0.6998   0.6039
     33    0.5016    0.9584   0.7021   0.7385   0.6016   0.6631
     34    0.4984    1.0290   0.7157   0.5842   0.6798   0.6284
     35    0.4888    0.9785   0.7697   0.7022   0.7559   0.7281
     36    0.4816    0.9148   0.7537   0.6867   0.7105   0.6984
     37    0.4866    0.9261   0.7485   0.6766   0.7401   0.7069
     38    0.4746    0.9228   0.7017   0.6756   0.6494   0.6623
     39    0.4653    0.9251   0.7733   0.7060   0.7331   0.7193
     40    0.4469    0.8992   0.7138   0.6146   0.7095   0.6586
     41    0.4834    0.9230   0.7647   0.7260   0.7049   0.7153
     42    0.4766    0.9338   0.7941   0.7294   0.7670   0.7477
     43    0.4519    0.8708   0.7575   0.6945   0.6569   0.6752
     44    0.4651    0.9183   0.7482   0.6942   0.7270   0.7102
     45    0.4450    0.8805   0.7535   0.6769   0.7188   0.6972
     46    0.4657    0.8748   0.7718   0.5822   0.8008   0.6742
     47    0.4579    0.8698   0.7539   0.6415   0.6424   0.6420
     48    0.4510    0.8094   0.7515   0.6662   0.7276   0.6955
     49    0.4320    0.8321   0.7646   0.6857   0.7597   0.7208
     50    0.4599    0.8703   0.7642   0.7186   0.7581   0.7378
     51    0.4446    0.8212   0.7589   0.7660   0.6954   0.7290
     52    0.4440    0.8108   0.8024   0.8077   0.7107   0.7561
     53    0.4441    0.8289   0.8178   0.7273   0.7823   0.7538
     54    0.4486    0.8365   0.8070   0.7121   0.7194   0.7157
