============================================================
  WOUND DETECTION - YOLO26m - METRICS REPORT
============================================================
  Model         : YOLO26m
  Dataset       : AZH Clinical Wound Dataset
  Run           : runs
  Total Epochs  : 148

  BEST EPOCH BY mAP50
  --------------------------------------------------
  Epoch         : 108
  Box Loss      : 0.2384
  Class Loss    : 0.6314
  mAP50         : 0.8690  (86.9%)
  mAP50-95      : 0.8610  (86.1%)
  Precision     : 0.7759
  Recall        : 0.8685
  F1 Score      : 0.8196

  BEST EPOCH BY F1
  --------------------------------------------------
  Epoch         : 123
  Precision     : 0.7931
  Recall        : 0.8724
  F1 Score      : 0.8308

  CONFIDENCE THRESHOLD RECOMMENDATIONS
  --------------------------------------------------
  Conservative (high precision) : 0.50
  Balanced     (best F1)        : 0.35
  Sensitive    (high recall)    : 0.25  <- medical use

  FULL TRAINING HISTORY
  --------------------------------------------------
  Epoch   BoxLoss   ClsLoss    mAP50     Prec      Rec       F1
     95    0.2097    0.6685   0.7887   0.6950   0.8266   0.7551
     96    0.2058    0.6071   0.7748   0.6693   0.8297   0.7409
      1    1.1092    6.9565   0.1358   0.1294   0.1096   0.1187
     97    0.2145    0.6076   0.7691   0.6881   0.7755   0.7292
      2    0.8266    2.5931   0.4437   0.4475   0.4735   0.4601
     98    0.2041    0.6522   0.7734   0.6844   0.8235   0.7476
     99    0.2169    0.6558   0.7921   0.7085   0.7904   0.7472
      3    0.8183    1.8129   0.4667   0.3510   0.5897   0.4401
    100    0.1912    0.6151   0.7934   0.7010   0.7981   0.7464
      4    0.8329    1.7163   0.4428   0.4365   0.4255   0.4309
    101    0.2104    0.6077   0.8044   0.6617   0.8402   0.7404
    102    0.1977    0.6080   0.7959   0.7060   0.7523   0.7284
      5    0.7698    1.5225   0.4964   0.4296   0.4914   0.4584
    103    0.2094    0.5819   0.7641   0.7057   0.7271   0.7162
      6    0.9014    1.5008   0.6441   0.6755   0.6407   0.6576
    104    0.1891    0.6010   0.7857   0.6620   0.8032   0.7258
    105    0.1762    0.5756   0.7864   0.7227   0.7608   0.7412
      7    0.8160    1.3934   0.5708   0.4897   0.6392   0.5545
    106    0.1834    0.6224   0.7769   0.6546   0.8168   0.7267
    107    0.1723    0.5831   0.7801   0.7040   0.7494   0.7260
      8    0.7935    1.3762   0.5953   0.5020   0.6475   0.5656
    108    0.1828    0.5888   0.7856   0.7238   0.7845   0.7529
      9    0.7360    1.2847   0.5823   0.4821   0.6852   0.5660
    109    0.1697    0.5773   0.8008   0.7521   0.7567   0.7544
    110    0.1719    0.6033   0.8057   0.7039   0.7835   0.7416
     10    0.6970    1.2922   0.6791   0.6007   0.6731   0.6348
    111    0.1671    0.5717   0.7843   0.6944   0.8228   0.7532
     11    0.6996    1.2827   0.5765   0.5696   0.5005   0.5329
    112    0.1725    0.5948   0.7810   0.7118   0.7758   0.7424
    113    0.1689    0.5656   0.7817   0.7371   0.7261   0.7316
     12    0.6964    1.2959   0.6572   0.5857   0.6323   0.6081
    114    0.1712    0.5653   0.7818   0.6704   0.8202   0.7378
     13    0.6389    1.2758   0.6997   0.5498   0.7633   0.6392
    115    0.1705    0.5567   0.7941   0.7414   0.7490   0.7452
    116    0.1673    0.5189   0.7947   0.6905   0.8302   0.7539
     14    0.6392    1.2176   0.3878   0.4694   0.3521   0.4024
    117    0.1593    0.5471   0.7728   0.6583   0.8117   0.7270
    118    0.1546    0.5265   0.7760   0.6885   0.8023   0.7411
     15    0.6452    1.2754   0.6622   0.4804   0.6626   0.5570
    119    0.1499    0.5411   0.7949   0.7144   0.7780   0.7449
     16    0.6100    1.2013   0.6697   0.6401   0.6534   0.6467
    120    0.1629    0.5394   0.7966   0.6947   0.8206   0.7524
    121    0.1468    0.5314   0.7817   0.6923   0.8290   0.7545
     17    0.6126    1.1856   0.6984   0.6100   0.6748   0.6408
    122    0.1523    0.5171   0.7870   0.7128   0.7682   0.7395
     18    0.6264    1.2132   0.7589   0.6177   0.7812   0.6899
    123    0.1478    0.5041   0.7823   0.6901   0.8054   0.7433
    124    0.1473    0.4659   0.7874   0.6928   0.7878   0.7372
     19    0.5610    1.1529   0.5701   0.7493   0.5096   0.6066
    125    0.1430    0.4745   0.7933   0.7023   0.8293   0.7605
     20    0.5222    1.1424   0.6172   0.5517   0.6196   0.5837
    126    0.1564    0.5092   0.7990   0.7521   0.8003   0.7755
    127    0.1423    0.4917   0.7938   0.7074   0.8143   0.7571
     21    0.5299    1.1172   0.5806   0.4541   0.6161   0.5228
    128    0.1388    0.4867   0.7906   0.6986   0.8301   0.7587
    129    0.1483    0.4867   0.7853   0.7188   0.7900   0.7527
     22    0.5285    1.1490   0.6602   0.5200   0.6754   0.5876
    130    0.1427    0.5042   0.7951   0.7341   0.7830   0.7577
     23    0.5598    1.1808   0.6207   0.4573   0.6504   0.5370
    131    0.1458    0.5111   0.8017   0.7510   0.7840   0.7671
    132    0.1445    0.4782   0.8073   0.7548   0.7733   0.7639
     24    0.6223    1.1646   0.7124   0.6118   0.6959   0.6511
    133    0.1439    0.5049   0.8079   0.7177   0.8370   0.7727
     25    0.5525    1.1202   0.7508   0.6011   0.7288   0.6589
    134    0.1564    0.5072   0.8010   0.7039   0.8211   0.7580
    135    0.1383    0.4880   0.7978   0.6876   0.8360   0.7546
     26    0.5298    1.1068   0.6290   0.5379   0.6562   0.5912
    136    0.0751    0.1393   0.8009   0.6921   0.8272   0.7537
     27    0.5140    1.1401   0.7090   0.6062   0.6968   0.6483
    137    0.0697    0.1265   0.8020   0.7486   0.7677   0.7580
    138    0.0670    0.1335   0.7948   0.6914   0.8144   0.7479
     28    0.5265    1.1279   0.7208   0.6787   0.7452   0.7104
    139    0.0680    0.1643   0.7922   0.7352   0.7815   0.7577
    140    0.0647    0.1804   0.7951   0.7394   0.7684   0.7536
     29    0.5224    1.0794   0.6441   0.5918   0.5902   0.5910
    141    0.0601    0.1474   0.7973   0.7040   0.8141   0.7551
     30    0.5786    1.1397   0.7093   0.6154   0.6752   0.6439
    142    0.0614    0.1056   0.7940   0.6900   0.8068   0.7438
    143    0.0593    0.1226   0.7951   0.7239   0.7803   0.7511
     31    0.4718    1.0669   0.7297   0.6665   0.6297   0.6476
    144    0.0583    0.1061   0.7947   0.7068   0.8431   0.7690
     32    0.4954    1.1243   0.6613   0.7151   0.5986   0.6517
    145    0.0625    0.1147   0.7953   0.6954   0.8463   0.7634
    146    0.0583    0.1382   0.7966   0.7006   0.8423   0.7649
     33    0.4644    1.0225   0.7022   0.6252   0.6255   0.6254
    147    0.0556    0.1280   0.7994   0.6944   0.8429   0.7615
     34    0.5221    1.0733   0.7060   0.6789   0.5857   0.6289
    148    0.0574    0.1399   0.7992   0.7114   0.8285   0.7655
    149    0.0588    0.1083   0.8008   0.6956   0.8392   0.7607
     35    0.5097    1.0950   0.7824   0.6725   0.7395   0.7044
    150    0.0599    0.1472   0.7988   0.7368   0.8036   0.7687
     36    0.4924    1.0770   0.7895   0.6362   0.7256   0.6779
     37    0.5151    1.0380   0.7751   0.7228   0.6883   0.7051
     38    0.4617    0.9976   0.6948   0.5860   0.6860   0.6321
     39    0.4938    1.0410   0.6807   0.5902   0.6704   0.6278
     40    0.4851    1.0667   0.7204   0.5978   0.6818   0.6370
     41    0.4669    1.0196   0.8129   0.6708   0.8106   0.7341
     42    0.4497    0.9946   0.8043   0.7196   0.7202   0.7199
     43    0.4430    1.0285   0.7553   0.6889   0.7753   0.7296
     44    0.3862    0.9663   0.7999   0.7004   0.7663   0.7319
     45    0.4320    0.9761   0.7305   0.5737   0.7093   0.6343
     46    0.4357    0.9755   0.7895   0.7189   0.7383   0.7285
     47    0.4153    0.9792   0.7441   0.6921   0.6909   0.6915
     48    0.4233    1.0065   0.7449   0.6181   0.7459   0.6760
     49    0.4110    0.9224   0.7625   0.6949   0.6944   0.6946
     50    0.4429    1.0099   0.7600   0.6791   0.7142   0.6962
     51    0.4097    0.9800   0.7071   0.5414   0.7405   0.6255
     52    0.4020    0.9319   0.7145   0.5925   0.7449   0.6601
     53    0.3832    0.9633   0.7464   0.6218   0.6562   0.6386
     54    0.3867    0.9304   0.7726   0.7128   0.7470   0.7295
     55    0.3848    0.9161   0.7985   0.8134   0.7058   0.7558
     56    0.4057    0.9626   0.7987   0.6850   0.7451   0.7138
     57    0.3870    0.8863   0.7667   0.7341   0.7070   0.7203
     58    0.4108    0.9620   0.7961   0.6312   0.8004   0.7058
     59    0.3836    0.8946   0.8281   0.6715   0.8486   0.7497
     60    0.3647    0.8713   0.8018   0.6837   0.7713   0.7249
     61    0.3497    0.8786   0.7787   0.6812   0.7476   0.7128
     62    0.3753    0.9348   0.7389   0.6645   0.7726   0.7145
     63    0.3278    0.8887   0.7476   0.5803   0.7600   0.6581
     64    0.3581    0.8648   0.7918   0.6908   0.7980   0.7405
     65    0.3285    0.8512   0.7934   0.6574   0.7844   0.7153
     66    0.3235    0.8460   0.7970   0.7082   0.7597   0.7331
     67    0.3466    0.8773   0.7400   0.6931   0.7179   0.7053
     68    0.3306    0.8599   0.7758   0.6650   0.7657   0.7118
     69    0.3549    0.8357   0.7100   0.5880   0.7295   0.6511
     70    0.3380    0.8565   0.7976   0.7088   0.7721   0.7391
     71    0.3110    0.8173   0.7844   0.7002   0.7630   0.7302
     72    0.3372    0.8532   0.7676   0.6982   0.6815   0.6897
     73    0.3136    0.8265   0.7639   0.6693   0.7545   0.7094
     74    0.3036    0.8037   0.7509   0.7216   0.6890   0.7049
     75    0.2986    0.8100   0.7985   0.7821   0.7156   0.7474
     76    0.2990    0.7588   0.7766   0.7651   0.7086   0.7358
     77    0.2918    0.7819   0.8010   0.6928   0.7941   0.7400
     78    0.2995    0.7877   0.8048   0.8269   0.6683   0.7392
     79    0.2978    0.8098   0.8102   0.7832   0.7543   0.7685
     80    0.3013    0.7840   0.8442   0.8031   0.8074   0.8052
     81    0.2951    0.7398   0.7939   0.7635   0.6669   0.7119
     82    0.2875    0.7890   0.7913   0.6625   0.7830   0.7177
     83    0.2814    0.7660   0.8313   0.7179   0.8392   0.7738
     84    0.2918    0.7814   0.8090   0.6979   0.8274   0.7572
     85    0.3025    0.7575   0.8029   0.6840   0.8223   0.7468
     86    0.2836    0.7482   0.8199   0.7740   0.7855   0.7797
     87    0.2885    0.7258   0.7825   0.6659   0.8179   0.7341
     88    0.2744    0.7308   0.8105   0.6885   0.7975   0.7390
     89    0.2707    0.7200   0.7692   0.7643   0.6897   0.7251
     90    0.2571    0.7267   0.8402   0.8239   0.7524   0.7865
     91    0.2639    0.7093   0.7805   0.7403   0.7304   0.7353
     92    0.2622    0.7154   0.8143   0.7853   0.7368   0.7603
     93    0.2472    0.7017   0.8134   0.7732   0.7481   0.7605
     94    0.2507    0.7034   0.8401   0.6790   0.8441   0.7526
     95    0.2442    0.6865   0.8220   0.6962   0.8535   0.7669
     96    0.2470    0.7094   0.8256   0.7439   0.7755   0.7594
     97    0.2404    0.6522   0.8413   0.7574   0.8196   0.7873
     98    0.2269    0.6357   0.8386   0.7396   0.8227   0.7789
     99    0.2673    0.7277   0.8300   0.7558   0.8175   0.7854
    100    0.2490    0.6642   0.8384   0.7828   0.8122   0.7972
    101    0.2317    0.6937   0.8422   0.7725   0.8118   0.7916
    102    0.2379    0.6456   0.7937   0.7419   0.6942   0.7172
    103    0.2285    0.6339   0.8274   0.7635   0.8230   0.7921
    104    0.2198    0.6233   0.8004   0.7427   0.7483   0.7455
    105    0.2135    0.6320   0.8064   0.7031   0.8202   0.7572
    106    0.2406    0.6273   0.8203   0.7281   0.7388   0.7334
    107    0.2329    0.6524   0.8554   0.7468   0.8337   0.7879
    108    0.2384    0.6314   0.8690   0.7759   0.8685   0.8196
    109    0.2188    0.6080   0.8609   0.8030   0.7766   0.7896
    110    0.2165    0.6394   0.8266   0.7911   0.7710   0.7809
    111    0.2067    0.5982   0.8476   0.7552   0.8510   0.8002
