============================================================
  WOUND DETECTION - YOLO26m - METRICS REPORT
============================================================
  Model         : YOLO26m
  Dataset       : AZH Clinical Wound Dataset
  Run           : runs
  Total Epochs  : 150

  BEST EPOCH BY mAP50
  --------------------------------------------------
  Epoch         : 123
  Box Loss      : 0.2289
  Class Loss    : 0.6081
  mAP50         : 0.8785  (87.8%)
  mAP50-95      : 0.8785  (87.8%)
  Precision     : 0.8046
  Recall        : 0.8341
  F1 Score      : 0.8191

  BEST EPOCH BY F1
  --------------------------------------------------
  Epoch         : 135
  Precision     : 0.8585
  Recall        : 0.8175
  F1 Score      : 0.8375

  CONFIDENCE THRESHOLD RECOMMENDATIONS
  --------------------------------------------------
  Conservative (high precision) : 0.50
  Balanced     (best F1)        : 0.35
  Sensitive    (high recall)    : 0.25  <- medical use

  FULL TRAINING HISTORY
  --------------------------------------------------
  Epoch   BoxLoss   ClsLoss    mAP50     Prec      Rec       F1
      1    1.1560    6.7985   0.0499   0.0053   0.9647   0.0105
      2    0.6601    5.6977   0.1909   0.7100   0.0782   0.1409
      3    0.6942    4.7776   0.2737   0.2521   0.3620   0.2972
      4    0.7044    4.1833   0.3237   0.3528   0.4273   0.3865
      5    0.6831    3.6445   0.4110   0.3481   0.4652   0.3982
      6    0.6845    3.2655   0.4438   0.3892   0.4886   0.4333
      7    0.6129    2.9188   0.4551   0.4453   0.4161   0.4302
      8    0.5871    2.6292   0.4590   0.4498   0.4391   0.4444
      9    0.5631    2.3927   0.5533   0.6556   0.4682   0.5463
     10    0.5720    2.1884   0.6072   0.4760   0.6646   0.5547
     11    0.5689    2.0105   0.6277   0.4905   0.6508   0.5594
     12    0.5935    1.9474   0.6458   0.5399   0.6246   0.5792
     13    0.5753    1.8134   0.6174   0.5225   0.6295   0.5710
     14    0.5154    1.6885   0.5901   0.5092   0.6368   0.5659
     15    0.5320    1.6406   0.6234   0.5233   0.5982   0.5583
     16    0.5600    1.5206   0.6644   0.5398   0.6619   0.5947
     17    0.5059    1.5194   0.6881   0.5893   0.6248   0.6065
     18    0.5031    1.4948   0.6630   0.5068   0.6660   0.5756
     19    0.4828    1.4240   0.7229   0.5465   0.7017   0.6145
     20    0.4793    1.3297   0.6907   0.5662   0.6738   0.6153
     21    0.4657    1.3348   0.6949   0.6111   0.6273   0.6191
     22    0.4789    1.3369   0.7151   0.7141   0.6721   0.6925
     23    0.5043    1.3211   0.7079   0.6415   0.6983   0.6687
     24    0.4830    1.2684   0.7173   0.6361   0.7147   0.6731
     25    0.4482    1.2202   0.7378   0.6330   0.7229   0.6750
     26    0.4938    1.1980   0.7187   0.5880   0.7212   0.6478
     27    0.4901    1.2054   0.6916   0.5902   0.6633   0.6246
     28    0.4621    1.2230   0.7523   0.6806   0.7312   0.7050
     29    0.4209    1.1474   0.7336   0.5732   0.7466   0.6485
     30    0.4454    1.1949   0.7053   0.5467   0.7704   0.6396
     31    0.4185    1.1483   0.7248   0.6342   0.6744   0.6536
     32    0.4352    1.2034   0.7643   0.7061   0.7594   0.7318
     33    0.4265    1.0695   0.7389   0.6151   0.7118   0.6599
     34    0.4525    1.1121   0.7374   0.6889   0.6808   0.6848
     35    0.4394    1.1055   0.7501   0.6098   0.7224   0.6613
     36    0.4228    1.1099   0.7421   0.7259   0.6498   0.6857
     37    0.4193    1.1094   0.7801   0.7106   0.7329   0.7216
     38    0.4234    1.0532   0.7598   0.6550   0.7238   0.6877
     39    0.4205    1.0235   0.7855   0.6888   0.6926   0.6907
     40    0.4168    1.0276   0.7923   0.6464   0.8132   0.7203
     41    0.4152    1.0112   0.7543   0.6939   0.7002   0.6971
     42    0.4063    1.0145   0.7874   0.7795   0.7012   0.7383
     43    0.3981    1.0114   0.7592   0.7813   0.6680   0.7202
     44    0.3574    0.9383   0.8058   0.7367   0.7179   0.7272
     45    0.3799    0.9626   0.7893   0.7765   0.7125   0.7431
     46    0.3987    0.9586   0.7840   0.7061   0.7704   0.7368
     47    0.3755    0.9627   0.8033   0.7378   0.7826   0.7596
     48    0.3878    0.9725   0.7735   0.6433   0.7754   0.7032
     49    0.3407    0.8568   0.7915   0.7165   0.7861   0.7497
     50    0.3881    0.9731   0.7957   0.8368   0.6648   0.7410
     51    0.3626    0.9324   0.7912   0.6922   0.7714   0.7297
     52    0.3652    0.9132   0.8023   0.6922   0.7611   0.7250
     53    0.3777    0.9542   0.8166   0.6838   0.7891   0.7327
     54    0.3691    0.8954   0.7975   0.7438   0.7421   0.7429
     55    0.3692    0.8770   0.8241   0.7155   0.7599   0.7371
     56    0.3672    0.9266   0.8205   0.6835   0.8109   0.7418
     57    0.3375    0.8603   0.8163   0.7692   0.7660   0.7676
     58    0.3584    0.9266   0.8188   0.7497   0.7753   0.7623
     59    0.3620    0.8802   0.8188   0.6814   0.8304   0.7485
     60    0.3268    0.8478   0.8475   0.7863   0.7641   0.7750
     61    0.3517    0.8377   0.8105   0.6829   0.8140   0.7427
     62    0.3725    0.9078   0.7961   0.7021   0.7382   0.7197
     63    0.3266    0.8088   0.8088   0.7615   0.7934   0.7771
     64    0.3364    0.8266   0.8332   0.8420   0.7008   0.7649
     65    0.3266    0.8383   0.8445   0.8286   0.7588   0.7922
     66    0.3656    0.7850   0.7984   0.7405   0.7809   0.7602
     67    0.3675    0.8373   0.8160   0.7532   0.7710   0.7620
     68    0.3010    0.8096   0.8393   0.7635   0.8072   0.7847
     69    0.3194    0.8010   0.8242   0.8074   0.7506   0.7780
     70    0.3249    0.8008   0.8188   0.6719   0.8389   0.7462
     71    0.3268    0.7732   0.8091   0.7708   0.7441   0.7572
     72    0.3226    0.8209   0.7962   0.8446   0.6696   0.7470
     73    0.3077    0.8046   0.8132   0.7682   0.7349   0.7512
