============================================================
  WOUND DETECTION - YOLO26m - METRICS REPORT
============================================================
  Model         : YOLO26m
  Dataset       : AZH Clinical Wound Dataset
  Run           : runs
  Total Epochs  : 250

  BEST EPOCH BY mAP50
  --------------------------------------------------
  Epoch         : 210
  Box Loss      : 0.2234
  Class Loss    : 0.5332
  mAP50         : 0.8860  (88.6%)
  mAP50-95      : 0.8860  (88.6%)
  Precision     : 0.8136
  Recall        : 0.8214
  F1 Score      : 0.8175

  BEST EPOCH BY F1
  --------------------------------------------------
  Epoch         : 217
  Precision     : 0.8026
  Recall        : 0.8451
  F1 Score      : 0.8233

  CONFIDENCE THRESHOLD RECOMMENDATIONS
  --------------------------------------------------
  Conservative (high precision) : 0.50
  Balanced     (best F1)        : 0.35
  Sensitive    (high recall)    : 0.25  <- medical use

  FULL TRAINING HISTORY
  --------------------------------------------------
  Epoch   BoxLoss   ClsLoss    mAP50     Prec      Rec       F1
      1    0.9914    5.4533   0.0044   0.0022   0.5902   0.0044
      2    0.6206    4.8401   0.0194   0.0030   0.8416   0.0060
      3    0.6011    4.5407   0.1074   0.0035   0.9917   0.0069
      4    0.6387    4.1964   0.0855   0.8992   0.0238   0.0464
      5    0.6885    3.8852   0.2610   0.5011   0.1828   0.2678
      6    0.6936    3.4324   0.2893   0.3927   0.3016   0.3412
      7    0.6992    3.0482   0.3610   0.3285   0.4052   0.3628
      8    0.6707    2.7700   0.1996   0.5109   0.3126   0.3879
      9    0.6259    2.5496   0.4543   0.3333   0.5078   0.4025
     10    0.6174    2.3575   0.5186   0.4114   0.5302   0.4633
     11    0.6169    2.2221   0.4845   0.3869   0.5278   0.4465
     12    0.6015    2.1155   0.5079   0.4102   0.5351   0.4644
     13    0.5777    1.9790   0.4934   0.4591   0.5099   0.4832
     14    0.5839    1.9198   0.6116   0.5007   0.6104   0.5501
     15    0.5715    1.8188   0.6277   0.5800   0.6109   0.5951
     16    0.5340    1.8219   0.5875   0.4468   0.5921   0.5093
     17    0.5736    1.7194   0.6845   0.5253   0.7295   0.6108
     18    0.5625    1.6666   0.6548   0.5757   0.5906   0.5830
     19    0.5264    1.5874   0.5183   0.4746   0.5398   0.5051
     20    0.5433    1.5844   0.6595   0.5839   0.6797   0.6282
     21    0.5450    1.5353   0.6397   0.6022   0.6152   0.6086
     22    0.5148    1.4743   0.6213   0.5127   0.6356   0.5676
     23    0.5142    1.4677   0.6399   0.5266   0.6536   0.5833
     24    0.5413    1.4634   0.7135   0.5755   0.7265   0.6423
     25    0.5181    1.3509   0.6060   0.4381   0.6312   0.5172
     26    0.5262    1.3806   0.6220   0.5174   0.6787   0.5872
     27    0.5355    1.3304   0.7453   0.6016   0.7240   0.6572
     28    0.5128    1.3415   0.6820   0.5928   0.6783   0.6327
