============================================================
  WOUND DETECTION - YOLO26m - METRICS REPORT
============================================================
  Model         : YOLO26m
  Dataset       : AZH Clinical Wound Dataset
  Run           : runs
  Total Epochs  : 250

  BEST EPOCH BY mAP50
  --------------------------------------------------
  Epoch         : 204
  Box Loss      : 0.1926
  Class Loss    : 0.4211
  mAP50         : 0.8780  (87.8%)
  mAP50-95      : 0.8780  (87.8%)
  Precision     : 0.8540
  Recall        : 0.8455
  F1 Score      : 0.8497

  BEST EPOCH BY F1
  --------------------------------------------------
  Epoch         : 182
  Precision     : 0.9110
  Recall        : 0.8052
  F1 Score      : 0.8548

  CONFIDENCE THRESHOLD RECOMMENDATIONS
  --------------------------------------------------
  Conservative (high precision) : 0.50
  Balanced     (best F1)        : 0.35
  Sensitive    (high recall)    : 0.25  <- medical use

  FULL TRAINING HISTORY
  --------------------------------------------------
  Epoch   BoxLoss   ClsLoss    mAP50     Prec      Rec       F1
      1    1.1339    6.3865   0.0992   0.7127   0.0500   0.0934
      2    0.6896    3.2340   0.1477   0.1272   0.3078   0.1800
      3    0.7227    2.1921   0.0587   0.1366   0.0549   0.0783
      4    0.7932    1.8663   0.2611   0.2036   0.5354   0.2950
      5    0.7498    1.6602   0.3852   0.2879   0.4722   0.3577
      6    0.7393    1.6001   0.4248   0.2902   0.5097   0.3698
      7    0.6632    1.4702   0.3435   0.2464   0.4881   0.3275
      8    0.6473    1.4298   0.3568   0.3005   0.4711   0.3669
      9    0.6315    1.3454   0.5161   0.4344   0.6020   0.5047
     10    0.6291    1.3349   0.5004   0.4421   0.5940   0.5069
     11    0.6177    1.3162   0.3296   0.4052   0.2874   0.3363
     12    0.6458    1.2867   0.5084   0.4288   0.5342   0.4757
     13    0.6019    1.2544   0.5244   0.4904   0.5988   0.5392
     14    0.5716    1.1577   0.6246   0.5388   0.6164   0.5750
     15    0.6077    1.2252   0.6093   0.5364   0.6296   0.5793
     16    0.5734    1.1245   0.5692   0.4748   0.6694   0.5555
     17    0.5626    1.1570   0.5021   0.4724   0.5826   0.5218
     18    0.5736    1.1640   0.5898   0.4854   0.6156   0.5428
     19    0.5319    1.1106   0.6743   0.5990   0.6183   0.6085
     20    0.5212    1.0766   0.6406   0.5072   0.6935   0.5859
     21    0.5196    1.0579   0.6651   0.5617   0.7384   0.6380
     22    0.5152    1.0646   0.6292   0.6218   0.5961   0.6087
     23    0.5405    1.1242   0.7033   0.5686   0.7250   0.6374
     24    0.5161    1.0638   0.7643   0.6369   0.7274   0.6792
     25    0.4979    1.0479   0.7382   0.7056   0.6365   0.6692
     26    0.5150    1.0659   0.7632   0.5830   0.7203   0.6444
     27    0.5062    1.0457   0.6572   0.5200   0.7100   0.6004
     28    0.5141    1.0503   0.6577   0.4407   0.7779   0.5626
     29    0.5050    0.9860   0.6230   0.5431   0.5942   0.5675
     30    0.5060    1.0471   0.6747   0.6172   0.6804   0.6472
     31    0.4789    0.9821   0.6542   0.5938   0.6456   0.6186
     32    0.5318    1.0925   0.7158   0.7175   0.6227   0.6667
     33    0.4932    0.9782   0.8105   0.6933   0.7754   0.7320
     34    0.4926    1.0332   0.5966   0.5507   0.6205   0.5835
     35    0.4822    1.0062   0.6149   0.6859   0.5460   0.6080
     36    0.4981    1.0002   0.7335   0.6349   0.7133   0.6718
     37    0.4770    0.9966   0.7125   0.5808   0.7006   0.6351
