epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,23.1807,1.02983,5.92194,0.03024,0.21842,0.0352,0.10737,0.07951,0.84102,8.10278,0.03745,0.000325203,0.000325203,0.000325203
2,41.6406,0.87267,2.38028,0.02566,0.22285,0.49743,0.25886,0.15345,1.31455,3.97534,0.05948,0.000652017,0.000652017,0.000652017
3,59.7134,0.90818,1.6873,0.02694,0.56579,0.54894,0.52358,0.3523,1.27499,1.81305,0.05884,0.000972231,0.000972231,0.000972231
4,77.802,0.86751,1.49801,0.02567,0.2745,0.41978,0.29116,0.19899,1.25109,2.09062,0.05702,0.0009703,0.0009703,0.0009703
5,96.0687,0.79495,1.36292,0.02322,0.44663,0.56439,0.4966,0.35663,1.26449,1.66712,0.05732,0.0009604,0.0009604,0.0009604
6,114.554,0.80075,1.373,0.02334,0.42247,0.34613,0.38404,0.27066,1.23175,2.17805,0.05873,0.0009505,0.0009505,0.0009505
7,132.741,0.72812,1.30892,0.02049,0.49089,0.60942,0.55066,0.40834,1.00655,1.46215,0.04683,0.0009406,0.0009406,0.0009406
8,151.308,0.70826,1.27027,0.02031,0.58129,0.65509,0.60519,0.45411,1.0523,1.36647,0.04955,0.0009307,0.0009307,0.0009307
9,169.845,0.7208,1.29931,0.02051,0.57379,0.73232,0.74683,0.54365,1.19746,1.07016,0.05752,0.0009208,0.0009208,0.0009208
10,188.357,0.64026,1.21525,0.01786,0.37992,0.645,0.52696,0.48891,0.40265,1.38783,0.01745,0.0009109,0.0009109,0.0009109
11,206.547,0.63192,1.19929,0.01782,0.64903,0.55873,0.60652,0.50574,0.67503,1.28266,0.03017,0.000901,0.000901,0.000901
12,224.975,0.66285,1.20305,0.01868,0.44688,0.48155,0.47338,0.39736,0.72246,1.63871,0.03277,0.0008911,0.0008911,0.0008911
13,243.157,0.6205,1.20781,0.01714,0.54786,0.65048,0.63802,0.56282,0.57128,1.17071,0.02551,0.0008812,0.0008812,0.0008812
14,261.681,0.60848,1.19595,0.01685,0.61516,0.37299,0.44372,0.38521,0.49972,1.61554,0.02183,0.0008713,0.0008713,0.0008713
15,279.939,0.58964,1.14519,0.0161,0.54658,0.69476,0.67951,0.58941,0.57517,1.01749,0.02508,0.0008614,0.0008614,0.0008614
16,298.518,0.61011,1.19765,0.01674,0.42466,0.57763,0.5969,0.53901,0.4843,1.17217,0.02123,0.0008515,0.0008515,0.0008515
17,316.802,0.636,1.16757,0.01762,0.52885,0.63699,0.66227,0.57977,0.64771,1.24884,0.02935,0.0008416,0.0008416,0.0008416
18,335.11,0.5921,1.15467,0.01653,0.60493,0.70274,0.69251,0.6301,0.51121,0.98308,0.02245,0.0008317,0.0008317,0.0008317
19,353.757,0.56433,1.08359,0.01557,0.51844,0.49944,0.54011,0.45765,0.69233,1.46851,0.03115,0.0008218,0.0008218,0.0008218
20,372.135,0.57771,1.11428,0.01581,0.68742,0.73523,0.75848,0.67058,0.58452,0.92089,0.02607,0.0008119,0.0008119,0.0008119
21,390.802,0.5485,1.06352,0.01479,0.52199,0.68559,0.63016,0.56503,0.52346,1.37529,0.02308,0.000802,0.000802,0.000802
22,409.441,0.53748,1.06146,0.01472,0.6523,0.64778,0.70683,0.63531,0.50432,0.95861,0.02212,0.0007921,0.0007921,0.0007921
23,427.758,0.53935,1.0601,0.0148,0.66003,0.73043,0.72975,0.63115,0.62638,0.93447,0.02768,0.0007822,0.0007822,0.0007822
