epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,22.2782,1.13064,6.1086,0.03626,0.70507,0.03741,0.04674,0.03665,0.63926,9.51856,0.03119,0.00325203,0.00325203,0.0707317
2,44.1206,0.6989,3.19321,0.0219,0.16056,0.26001,0.14041,0.09843,1.03033,4.60569,0.0501,0.00655929,0.00655929,0.0407056
3,65.7111,0.72443,2.22005,0.02233,0.17646,0.32988,0.17699,0.12354,1.14202,3.02872,0.05555,0.00984014,0.00984014,0.0106532
4,87.4337,0.78718,1.8537,0.02462,0.20841,0.32009,0.26476,0.18205,0.92209,2.14265,0.04477,0.0098812,0.0098812,0.0098812
5,109.082,0.76749,1.69841,0.02385,0.28424,0.53836,0.30335,0.22964,0.85132,2.04068,0.04151,0.0098416,0.0098416,0.0098416
6,130.816,0.77516,1.62173,0.02428,0.26795,0.46541,0.29496,0.22323,0.96103,1.87362,0.04697,0.009802,0.009802,0.009802
7,152.371,0.75895,1.52743,0.02362,0.28208,0.61972,0.41683,0.31824,0.75366,1.7793,0.03636,0.0097624,0.0097624,0.0097624
8,174.177,0.71822,1.46626,0.0221,0.47701,0.62833,0.59365,0.5227,0.51507,1.18379,0.02484,0.0097228,0.0097228,0.0097228
9,196.019,0.68114,1.42342,0.02036,0.4746,0.68618,0.59962,0.54287,0.48348,1.25564,0.02302,0.0096832,0.0096832,0.0096832
10,217.942,0.67639,1.36461,0.02027,0.47013,0.7442,0.62022,0.54211,0.63768,1.08137,0.03053,0.0096436,0.0096436,0.0096436
11,239.663,0.65802,1.28124,0.01942,0.37137,0.61309,0.56208,0.4973,0.48966,1.30498,0.02381,0.009604,0.009604,0.009604
12,261.648,0.6309,1.29271,0.01874,0.40194,0.61287,0.5357,0.46464,0.56256,1.32417,0.02737,0.0095644,0.0095644,0.0095644
13,283.417,0.60995,1.25025,0.01784,0.43681,0.65343,0.56403,0.49813,0.55376,1.21756,0.0271,0.0095248,0.0095248,0.0095248
14,305.218,0.60087,1.24941,0.01753,0.47868,0.63454,0.60532,0.52282,0.58525,1.28287,0.0285,0.0094852,0.0094852,0.0094852
15,327.048,0.58593,1.22382,0.0169,0.4528,0.74276,0.63374,0.57549,0.48369,1.11073,0.02342,0.0094456,0.0094456,0.0094456
16,349.091,0.60362,1.24209,0.01776,0.57573,0.70284,0.71224,0.631,0.50935,0.93879,0.02471,0.009406,0.009406,0.009406
