epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,8.32555,0.99141,5.45327,0.0321,0.00223,0.59018,0.00444,0.00313,0.37474,10.2749,0.01785,0.00325203,0.00325203,0.0707317
2,14.3767,0.62062,4.84012,0.01922,0.00302,0.84164,0.01942,0.01348,0.6135,9.59833,0.02938,0.00655929,0.00655929,0.0407056
3,20.5239,0.60107,4.54069,0.01839,0.00347,0.99167,0.1074,0.08297,0.51383,8.80858,0.02514,0.00984014,0.00984014,0.0106532
4,26.4628,0.63868,4.19638,0.0196,0.89917,0.02381,0.08549,0.05608,0.89596,8.48463,0.04387,0.0098812,0.0098812,0.0098812
5,32.4017,0.68846,3.88523,0.02113,0.50111,0.18276,0.26096,0.2199,0.48002,6.90856,0.02317,0.0098416,0.0098416,0.0098416
6,38.3264,0.69363,3.43239,0.02119,0.39267,0.30162,0.28931,0.22047,0.91335,6.4792,0.04699,0.009802,0.009802,0.009802
7,44.3056,0.69917,3.04823,0.0212,0.32849,0.40521,0.36099,0.28724,0.85182,5.75413,0.04197,0.0097624,0.0097624,0.0097624
8,50.2409,0.67066,2.76998,0.02012,0.51089,0.3126,0.19959,0.16848,0.70575,5.68689,0.03535,0.0097228,0.0097228,0.0097228
9,56.218,0.62591,2.54959,0.01855,0.33335,0.50782,0.45434,0.3472,1.03293,4.78623,0.05485,0.0096832,0.0096832,0.0096832
10,62.1679,0.61744,2.35754,0.01831,0.41143,0.53024,0.51863,0.46991,0.45709,4.15378,0.02204,0.0096436,0.0096436,0.0096436
11,68.1548,0.61689,2.22211,0.01815,0.38692,0.52775,0.48449,0.4095,0.64249,3.92967,0.03182,0.009604,0.009604,0.009604
12,74.0312,0.60153,2.11545,0.01771,0.41022,0.53513,0.50794,0.42745,0.73178,3.51064,0.03664,0.0095644,0.0095644,0.0095644
13,79.9525,0.57772,1.979,0.01686,0.45914,0.50992,0.49338,0.41571,0.68707,3.39873,0.03396,0.0095248,0.0095248,0.0095248
14,85.8559,0.58393,1.91979,0.01696,0.50068,0.61037,0.61157,0.51868,0.72949,2.96753,0.03639,0.0094852,0.0094852,0.0094852
15,91.8686,0.57149,1.81879,0.0165,0.58002,0.6109,0.62771,0.58633,0.37089,2.77479,0.01776,0.0094456,0.0094456,0.0094456
16,97.804,0.53404,1.82188,0.01558,0.44684,0.59207,0.58746,0.51862,0.55921,2.68335,0.02722,0.009406,0.009406,0.009406
17,103.731,0.57359,1.71937,0.01653,0.5253,0.72953,0.68455,0.54245,0.89643,2.46164,0.04589,0.0093664,0.0093664,0.0093664
18,109.631,0.56254,1.66661,0.01621,0.57569,0.59056,0.65481,0.59362,0.48238,2.44731,0.02348,0.0093268,0.0093268,0.0093268
19,115.544,0.52644,1.58737,0.01504,0.47461,0.5398,0.51829,0.46483,0.50378,2.43303,0.02465,0.0092872,0.0092872,0.0092872
20,121.407,0.5433,1.58444,0.01555,0.58393,0.67974,0.65948,0.59912,0.49196,2.06896,0.02393,0.0092476,0.0092476,0.0092476
21,127.483,0.54504,1.53526,0.01543,0.60218,0.61519,0.63971,0.60051,0.35919,2.07115,0.01729,0.009208,0.009208,0.009208
22,133.393,0.51484,1.47432,0.01485,0.5127,0.63559,0.62134,0.5311,0.70466,1.97132,0.03428,0.0091684,0.0091684,0.0091684
23,139.343,0.51417,1.46771,0.01471,0.52665,0.65362,0.63992,0.50582,0.98503,1.98488,0.05084,0.0091288,0.0091288,0.0091288
24,145.227,0.54126,1.46345,0.01549,0.57552,0.72653,0.71348,0.64789,0.47603,1.66246,0.02311,0.0090892,0.0090892,0.0090892
25,151.16,0.51807,1.35091,0.01485,0.43808,0.63118,0.60602,0.55113,0.44589,1.8559,0.0214,0.0090496,0.0090496,0.0090496
26,157.054,0.52622,1.38057,0.01472,0.5174,0.67875,0.62195,0.58349,0.37355,1.64655,0.01795,0.00901,0.00901,0.00901
27,163.138,0.53548,1.33043,0.0151,0.60164,0.724,0.74532,0.71413,0.31319,1.45596,0.01499,0.0089704,0.0089704,0.0089704
28,169.1,0.51276,1.34145,0.01475,0.59281,0.6783,0.68199,0.60309,0.64026,1.64885,0.03198,0.0089308,0.0089308,0.0089308
29,175.043,0.51675,1.29111,0.01454,0.5237,0.69344,0.65168,0.57414,0.61969,1.72177,0.0305,0.0088912,0.0088912,0.0088912
30,181.005,0.50047,1.25271,0.01404,0.70725,0.73083,0.78238,0.72727,0.39747,1.2356,0.01907,0.0088516,0.0088516,0.0088516
31,186.982,0.49845,1.29125,0.01402,0.68275,0.72864,0.77513,0.71808,0.44368,1.29857,0.02136,0.008812,0.008812,0.008812
32,192.925,0.48561,1.17475,0.01351,0.68172,0.71967,0.76033,0.6948,0.43821,1.24229,0.02138,0.0087724,0.0087724,0.0087724
33,198.937,0.48573,1.14538,0.01341,0.68302,0.6754,0.7362,0.6986,0.35279,1.32035,0.01687,0.0087328,0.0087328,0.0087328
34,204.843,0.49387,1.25557,0.01378,0.60514,0.69178,0.73053,0.65878,0.51172,1.31452,0.02484,0.0086932,0.0086932,0.0086932
35,210.813,0.47373,1.17845,0.01342,0.61634,0.76802,0.73701,0.69955,0.37606,1.25151,0.01776,0.0086536,0.0086536,0.0086536
36,216.759,0.4639,1.11083,0.0129,0.60153,0.6631,0.69837,0.6269,0.56925,1.44684,0.028,0.008614,0.008614,0.008614
37,222.618,0.47263,1.0981,0.0131,0.62632,0.86774,0.77911,0.70316,0.47504,1.10806,0.02322,0.0085744,0.0085744,0.0085744
38,228.484,0.4749,1.12841,0.01322,0.74768,0.60872,0.76923,0.69172,0.53855,1.28532,0.02652,0.0085348,0.0085348,0.0085348
39,234.552,0.47453,1.12126,0.01338,0.63672,0.75347,0.77179,0.71221,0.40273,1.09128,0.01916,0.0084952,0.0084952,0.0084952
40,240.471,0.4617,1.0751,0.01289,0.67149,0.79269,0.79722,0.70627,0.58624,1.05206,0.02872,0.0084556,0.0084556,0.0084556
41,246.397,0.48384,1.09529,0.01391,0.7185,0.80158,0.82947,0.75431,0.48916,0.98909,0.02337,0.008416,0.008416,0.008416
42,252.273,0.46962,1.12752,0.01325,0.78718,0.71878,0.78233,0.71557,0.42153,1.06883,0.02007,0.0083764,0.0083764,0.0083764
43,258.227,0.45936,1.05201,0.01301,0.79446,0.63327,0.77733,0.70072,0.53905,1.06055,0.02651,0.0083368,0.0083368,0.0083368
44,264.146,0.47878,1.11724,0.01382,0.64945,0.68629,0.72623,0.70069,0.335,1.20042,0.01612,0.0082972,0.0082972,0.0082972
45,270.168,0.45526,1.04607,0.01281,0.70936,0.70994,0.79883,0.7647,0.33614,1.08591,0.01627,0.0082576,0.0082576,0.0082576
46,276.086,0.47048,1.05773,0.01319,0.67466,0.79022,0.81484,0.78485,0.30193,0.89213,0.01448,0.008218,0.008218,0.008218
47,282.007,0.47112,1.05372,0.0133,0.64298,0.60875,0.73596,0.66154,0.47983,1.08266,0.02324,0.0081784,0.0081784,0.0081784
48,287.895,0.44536,0.98822,0.01231,0.70528,0.78465,0.82663,0.74333,0.5701,0.91536,0.028,0.0081388,0.0081388,0.0081388
49,293.828,0.43911,0.98469,0.01214,0.66602,0.75856,0.79114,0.71597,0.46255,1.06604,0.02233,0.0080992,0.0080992,0.0080992
50,299.735,0.47437,1.04521,0.01321,0.72056,0.86189,0.81853,0.79616,0.29639,0.8847,0.01419,0.0080596,0.0080596,0.0080596
51,305.858,0.44134,0.9601,0.01227,0.76231,0.71214,0.80377,0.79632,0.2367,0.99051,0.01107,0.00802,0.00802,0.00802
52,311.814,0.43736,0.9341,0.01204,0.81889,0.73773,0.83268,0.82802,0.23957,0.98838,0.01132,0.0079804,0.0079804,0.0079804
53,317.693,0.45143,0.95703,0.0125,0.67512,0.8008,0.8123,0.77674,0.33116,0.88569,0.01579,0.0079408,0.0079408,0.0079408
54,323.574,0.46087,0.96111,0.01307,0.72913,0.76451,0.77411,0.71989,0.35922,0.94312,0.01715,0.0079012,0.0079012,0.0079012
55,329.507,0.45311,0.98867,0.01268,0.48131,0.67457,0.5997,0.58416,0.292,1.56327,0.01381,0.0078616,0.0078616,0.0078616
56,335.413,0.44297,0.97741,0.01251,0.59884,0.66701,0.72614,0.72131,0.1911,1.15815,0.00886,0.007822,0.007822,0.007822
57,341.429,0.44846,0.98202,0.01257,0.64732,0.76618,0.77685,0.70982,0.46562,1.06114,0.02278,0.0077824,0.0077824,0.0077824
58,347.337,0.44022,0.96173,0.01227,0.63963,0.71227,0.73572,0.66278,0.51794,1.15676,0.02527,0.0077428,0.0077428,0.0077428
59,353.306,0.42576,0.93266,0.01169,0.65288,0.72547,0.76196,0.70897,0.35278,1.15245,0.01709,0.0077032,0.0077032,0.0077032
60,359.135,0.42862,0.93037,0.01193,0.73284,0.73598,0.79909,0.7594,0.33158,0.94228,0.01599,0.0076636,0.0076636,0.0076636
61,365.087,0.43989,0.92937,0.01199,0.85249,0.74473,0.85555,0.82959,0.27501,0.76433,0.01301,0.007624,0.007624,0.007624
62,371.034,0.46115,0.95525,0.01278,0.70466,0.7445,0.81247,0.76695,0.34191,0.91219,0.01625,0.0075844,0.0075844,0.0075844
63,377.029,0.42068,0.94565,0.01173,0.69939,0.57764,0.65901,0.62006,0.35255,1.43285,0.01679,0.0075448,0.0075448,0.0075448
64,382.992,0.43133,0.95543,0.01211,0.70692,0.69536,0.75059,0.74085,0.19862,1.07576,0.00923,0.0075052,0.0075052,0.0075052
65,388.882,0.43284,0.94082,0.01199,0.69919,0.73072,0.78707,0.78608,0.20472,0.94173,0.00963,0.0074656,0.0074656,0.0074656
66,394.779,0.45151,0.93495,0.01245,0.70394,0.71843,0.75008,0.7377,0.27053,1.07894,0.01284,0.007426,0.007426,0.007426
67,400.721,0.40647,0.86426,0.01139,0.85686,0.70226,0.81608,0.74097,0.50506,0.89085,0.02474,0.0073864,0.0073864,0.0073864
68,406.696,0.42337,0.83522,0.01164,0.74838,0.75233,0.82425,0.74699,0.45943,0.78447,0.02229,0.0073468,0.0073468,0.0073468
69,412.608,0.43635,0.87165,0.01202,0.78393,0.70156,0.82039,0.79307,0.32949,0.90511,0.01569,0.0073072,0.0073072,0.0073072
70,418.51,0.41869,0.90098,0.0115,0.85151,0.72195,0.81932,0.78243,0.32841,0.84104,0.01559,0.0072676,0.0072676,0.0072676
71,424.483,0.42552,0.84076,0.01166,0.87153,0.6803,0.81467,0.78332,0.2666,0.89343,0.0126,0.007228,0.007228,0.007228
72,430.368,0.41379,0.87634,0.01153,0.6624,0.77197,0.80178,0.78383,0.28727,0.79461,0.01355,0.0071884,0.0071884,0.0071884
73,436.209,0.41268,0.87309,0.01126,0.63392,0.7652,0.79552,0.75932,0.32265,0.95168,0.01533,0.0071488,0.0071488,0.0071488
74,442.281,0.41761,0.85218,0.01156,0.80127,0.75687,0.83509,0.83031,0.2266,0.76919,0.0106,0.0071092,0.0071092,0.0071092
75,448.175,0.41901,0.81783,0.01181,0.73866,0.75994,0.81343,0.74801,0.4449,0.82951,0.02176,0.0070696,0.0070696,0.0070696
76,454.041,0.42522,0.84951,0.01166,0.6704,0.85592,0.8121,0.74338,0.41518,0.8671,0.02022,0.00703,0.00703,0.00703
77,459.925,0.40303,0.85346,0.01099,0.75355,0.76343,0.83021,0.75876,0.44842,0.76884,0.02195,0.0069904,0.0069904,0.0069904
78,465.81,0.3931,0.83463,0.011,0.81387,0.69134,0.81573,0.80478,0.27209,0.78137,0.01306,0.0069508,0.0069508,0.0069508
79,471.84,0.38125,0.78753,0.01038,0.86039,0.68288,0.82012,0.74193,0.46134,0.90199,0.0223,0.0069112,0.0069112,0.0069112
80,477.788,0.40607,0.86555,0.01123,0.7222,0.75659,0.80626,0.79691,0.25486,0.77428,0.01209,0.0068716,0.0068716,0.0068716
81,483.71,0.40087,0.87698,0.01104,0.82882,0.72756,0.82365,0.79978,0.32244,0.8536,0.01566,0.006832,0.006832,0.006832
82,489.636,0.39337,0.80355,0.01077,0.77303,0.80157,0.82995,0.80827,0.26586,0.7608,0.01256,0.0067924,0.0067924,0.0067924
83,495.493,0.38663,0.78788,0.01066,0.73231,0.75086,0.8075,0.79477,0.27245,0.78581,0.013,0.0067528,0.0067528,0.0067528
84,501.54,0.38859,0.8664,0.01072,0.7319,0.78622,0.84241,0.79855,0.38151,0.75304,0.01833,0.0067132,0.0067132,0.0067132
85,507.424,0.39761,0.83824,0.01128,0.75762,0.69124,0.81223,0.74613,0.43134,0.87349,0.02074,0.0066736,0.0066736,0.0066736
