epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,22.6213,1.13386,6.38653,0.03634,0.71265,0.05,0.09916,0.08723,0.33977,7.54434,0.01598,0.00325203,0.00325203,0.0707317
2,40.1909,0.68957,3.23398,0.02162,0.12721,0.30782,0.1477,0.11884,0.73129,3.66189,0.03617,0.00655929,0.00655929,0.0407056
3,57.6656,0.72266,2.19213,0.02282,0.13657,0.05485,0.05866,0.03438,2.56494,4.43376,0.13332,0.00984014,0.00984014,0.0106532
4,74.862,0.79322,1.86633,0.02548,0.20359,0.53543,0.26109,0.20267,0.92537,1.97388,0.04542,0.0098812,0.0098812,0.0098812
5,92.2658,0.74975,1.66023,0.02343,0.2879,0.47223,0.3852,0.27436,0.89856,1.76828,0.04353,0.0098416,0.0098416,0.0098416
6,109.67,0.7393,1.60015,0.02295,0.29016,0.5097,0.42478,0.31936,0.90458,1.71578,0.04363,0.009802,0.009802,0.009802
7,127.11,0.66315,1.47023,0.02046,0.2464,0.48813,0.34348,0.27504,0.68146,1.87538,0.03298,0.0097624,0.0097624,0.0097624
8,144.541,0.64732,1.42978,0.01952,0.30051,0.47105,0.35678,0.29305,0.77908,2.21455,0.03935,0.0097228,0.0097228,0.0097228
9,161.874,0.63155,1.34541,0.0191,0.43442,0.60205,0.51606,0.44506,0.60276,1.32549,0.02952,0.0096832,0.0096832,0.0096832
10,179.398,0.62908,1.33489,0.0191,0.44211,0.59404,0.50038,0.44466,0.49096,1.33222,0.02357,0.0096436,0.0096436,0.0096436
11,196.777,0.61767,1.31621,0.01867,0.40518,0.2874,0.32955,0.26356,0.94448,2.0119,0.04634,0.009604,0.009604,0.009604
12,214.278,0.64577,1.28672,0.01956,0.42881,0.5342,0.50839,0.42452,0.71473,1.41676,0.03512,0.0095644,0.0095644,0.0095644
13,231.84,0.60189,1.25444,0.01803,0.49039,0.59879,0.52437,0.46787,0.51404,1.40254,0.02467,0.0095248,0.0095248,0.0095248
14,249.414,0.57155,1.15772,0.01681,0.53884,0.61637,0.62461,0.54086,0.64501,1.19817,0.03153,0.0094852,0.0094852,0.0094852
15,267.011,0.60768,1.22521,0.01814,0.53637,0.62963,0.60933,0.52254,0.56869,1.14361,0.02707,0.0094456,0.0094456,0.0094456
16,284.416,0.57338,1.12451,0.01693,0.47478,0.66939,0.56918,0.52263,0.4154,1.18546,0.01991,0.009406,0.009406,0.009406
17,301.818,0.56261,1.15703,0.01666,0.47243,0.58258,0.50207,0.47896,0.29914,1.49707,0.01414,0.0093664,0.0093664,0.0093664
18,319.321,0.57364,1.16401,0.01696,0.48535,0.61563,0.58985,0.52937,0.42633,1.27373,0.02039,0.0093268,0.0093268,0.0093268
19,336.728,0.5319,1.11062,0.01563,0.59899,0.61829,0.67425,0.59973,0.52053,1.04515,0.02509,0.0092872,0.0092872,0.0092872
20,354.274,0.52123,1.07657,0.01511,0.50725,0.69352,0.64061,0.56924,0.42606,1.05593,0.02076,0.0092476,0.0092476,0.0092476
21,371.78,0.51961,1.05792,0.01494,0.56172,0.73838,0.66513,0.60847,0.44855,0.97452,0.02164,0.009208,0.009208,0.009208
22,389.491,0.51522,1.06459,0.01473,0.62176,0.59613,0.6292,0.57322,0.428,1.17141,0.02063,0.0091684,0.0091684,0.0091684
23,407.057,0.54053,1.1242,0.01572,0.56864,0.72504,0.70333,0.64945,0.4035,0.96309,0.01935,0.0091288,0.0091288,0.0091288
24,424.659,0.51612,1.06382,0.01478,0.63692,0.72744,0.76429,0.67505,0.53191,0.80339,0.02553,0.0090892,0.0090892,0.0090892
25,442.266,0.49787,1.04792,0.0143,0.70555,0.63648,0.73824,0.65273,0.49199,0.95214,0.02367,0.0090496,0.0090496,0.0090496
26,459.668,0.51495,1.06589,0.01481,0.58299,0.72031,0.76319,0.72959,0.3285,0.86836,0.01554,0.00901,0.00901,0.00901
27,477.247,0.50622,1.04574,0.01456,0.52004,0.71003,0.65723,0.57657,0.44236,1.25603,0.02093,0.0089704,0.0089704,0.0089704
28,494.687,0.51407,1.05026,0.01474,0.44067,0.77793,0.6577,0.58317,0.50263,1.09156,0.02418,0.0089308,0.0089308,0.0089308
29,512.231,0.50505,0.98603,0.01444,0.54311,0.59418,0.62296,0.54756,0.53764,1.44953,0.02612,0.0088912,0.0088912,0.0088912
30,529.662,0.50604,1.0471,0.01483,0.61716,0.6804,0.67467,0.62856,0.3612,1.12442,0.01725,0.0088516,0.0088516,0.0088516
31,547.215,0.47893,0.98211,0.0136,0.59384,0.6456,0.65418,0.52464,0.79276,1.08303,0.03855,0.008812,0.008812,0.008812
32,564.757,0.53176,1.09248,0.01563,0.71748,0.62265,0.71579,0.64,0.48066,1.01689,0.02307,0.0087724,0.0087724,0.0087724
33,582.22,0.49316,0.97821,0.01396,0.69325,0.77538,0.81045,0.74588,0.42157,0.72111,0.02016,0.0087328,0.0087328,0.0087328
34,603.684,0.49258,1.0332,0.01414,0.55067,0.62048,0.59657,0.52742,0.50339,1.21562,0.02419,0.0086932,0.0086932,0.0086932
35,621.593,0.4822,1.00623,0.01366,0.68591,0.54603,0.61495,0.5965,0.29268,1.26656,0.01379,0.0086536,0.0086536,0.0086536
36,639.185,0.49812,1.00015,0.01418,0.63491,0.71331,0.73346,0.68528,0.36601,0.94626,0.01752,0.008614,0.008614,0.008614
37,656.554,0.47698,0.99664,0.01359,0.58083,0.70065,0.71248,0.67214,0.32617,1.07683,0.01545,0.0085744,0.0085744,0.0085744
38,673.874,0.48087,0.91151,0.0137,0.51972,0.6894,0.68261,0.65541,0.29154,0.99147,0.01373,0.0085348,0.0085348,0.0085348
39,691.229,0.46616,0.91866,0.01278,0.65606,0.74117,0.75756,0.73169,0.29663,0.79197,0.01394,0.0084952,0.0084952,0.0084952
40,708.806,0.48385,0.95231,0.01366,0.70473,0.68394,0.72027,0.67569,0.35297,1.09442,0.01656,0.0084556,0.0084556,0.0084556
41,726.216,0.4648,0.94808,0.01313,0.61333,0.67416,0.71649,0.64503,0.45786,0.97205,0.02177,0.008416,0.008416,0.008416
42,743.738,0.45719,0.92151,0.01279,0.67611,0.76492,0.78072,0.70503,0.47367,0.79768,0.02286,0.0083764,0.0083764,0.0083764
43,761.143,0.44836,0.90206,0.01265,0.68066,0.61831,0.7019,0.63529,0.44536,1.01999,0.02106,0.0083368,0.0083368,0.0083368
44,778.508,0.44031,0.89666,0.01255,0.63106,0.7057,0.7011,0.6619,0.38006,1.0018,0.0181,0.0082972,0.0082972,0.0082972
45,796.025,0.50211,0.92191,0.0144,0.59002,0.63128,0.6671,0.64116,0.33561,1.14592,0.01584,0.0082576,0.0082576,0.0082576
46,813.431,0.45828,0.94576,0.013,0.69034,0.6912,0.75387,0.68901,0.39086,0.92918,0.01845,0.008218,0.008218,0.008218
47,830.843,0.44687,0.89119,0.01261,0.62137,0.69633,0.7393,0.69341,0.3702,0.86869,0.01773,0.0081784,0.0081784,0.0081784
48,848.238,0.45649,0.87943,0.01289,0.64327,0.66984,0.71003,0.68082,0.33358,0.97871,0.01585,0.0081388,0.0081388,0.0081388
49,865.598,0.42914,0.84485,0.01202,0.53897,0.68205,0.64152,0.59074,0.41339,1.12118,0.01979,0.0080992,0.0080992,0.0080992
50,883.09,0.45993,0.89974,0.01319,0.68733,0.65997,0.72847,0.69033,0.31757,0.94904,0.01497,0.0080596,0.0080596,0.0080596
51,900.48,0.45059,0.87975,0.01248,0.61186,0.7658,0.77711,0.74083,0.33317,0.86214,0.01592,0.00802,0.00802,0.00802
52,918.015,0.43956,0.82568,0.01249,0.72169,0.71994,0.77838,0.72982,0.35907,0.87072,0.0172,0.0079804,0.0079804,0.0079804
53,935.416,0.43575,0.87085,0.01218,0.65715,0.68811,0.75223,0.72139,0.3023,0.87869,0.0143,0.0079408,0.0079408,0.0079408
54,952.8,0.44527,0.8585,0.01245,0.75309,0.646,0.76891,0.73616,0.33522,0.77567,0.01586,0.0079012,0.0079012,0.0079012
55,970.35,0.44809,0.81117,0.01292,0.69045,0.666,0.73199,0.70477,0.31467,1.01467,0.01494,0.0078616,0.0078616,0.0078616
56,987.758,0.44672,0.84194,0.01228,0.65332,0.75232,0.75739,0.73046,0.30567,1.04634,0.0145,0.007822,0.007822,0.007822
57,1005.14,0.43457,0.81614,0.01214,0.71122,0.7828,0.78631,0.74499,0.31037,0.79975,0.01462,0.0077824,0.0077824,0.0077824
58,1022.48,0.44518,0.85798,0.01235,0.67071,0.74903,0.76421,0.74672,0.2768,0.83498,0.01315,0.0077428,0.0077428,0.0077428
59,1040.08,0.441,0.85759,0.0124,0.60581,0.71686,0.70502,0.68083,0.31188,0.93223,0.01477,0.0077032,0.0077032,0.0077032
60,1057.53,0.42444,0.81799,0.01166,0.65276,0.67713,0.72672,0.69844,0.30128,1.04616,0.0143,0.0076636,0.0076636,0.0076636
61,1075.13,0.43565,0.76654,0.01228,0.62487,0.76826,0.74695,0.70207,0.36785,0.94577,0.0175,0.007624,0.007624,0.007624
62,1092.74,0.42988,0.87058,0.01179,0.62957,0.67153,0.70625,0.68184,0.30733,1.14989,0.0146,0.0075844,0.0075844,0.0075844
63,1110.25,0.41742,0.75979,0.01156,0.27911,0.36964,0.3129,0.28689,0.30029,2.22251,0.01398,0.0075448,0.0075448,0.0075448
64,1127.75,0.41609,0.83315,0.01156,0.68368,0.78586,0.80401,0.7728,0.31737,0.74432,0.01504,0.0075052,0.0075052,0.0075052
65,1145.43,0.41594,0.78001,0.01146,0.68734,0.62199,0.70696,0.69791,0.23508,1.02843,0.011,0.0074656,0.0074656,0.0074656
66,1163.06,0.3994,0.77653,0.01107,0.52109,0.54986,0.6078,0.57794,0.28836,1.29467,0.01367,0.007426,0.007426,0.007426
67,1180.51,0.42831,0.79934,0.01206,0.82888,0.76935,0.84478,0.80679,0.3181,0.6149,0.0151,0.0073864,0.0073864,0.0073864
68,1198.77,0.39156,0.75894,0.01084,0.66675,0.83526,0.81653,0.76603,0.32015,0.76392,0.01495,0.0073468,0.0073468,0.0073468
69,1219.25,0.39978,0.77084,0.01116,0.64493,0.7924,0.80455,0.77147,0.34604,0.77984,0.0162,0.0073072,0.0073072,0.0073072
70,1237.06,0.41777,0.77417,0.01151,0.68972,0.72144,0.75587,0.71054,0.35634,0.957,0.01683,0.0072676,0.0072676,0.0072676
71,1254.52,0.39276,0.76498,0.01062,0.59655,0.74619,0.69589,0.65639,0.34889,1.08784,0.01649,0.007228,0.007228,0.007228
72,1272.32,0.4126,0.75971,0.01127,0.76565,0.60466,0.74355,0.72223,0.25322,1.04268,0.01185,0.0071884,0.0071884,0.0071884
73,1289.81,0.40191,0.73869,0.011,0.71823,0.72539,0.76029,0.74798,0.28483,0.91889,0.01337,0.0071488,0.0071488,0.0071488
74,1307.31,0.40321,0.77477,0.0112,0.73493,0.74505,0.78114,0.77676,0.24312,0.82255,0.0114,0.0071092,0.0071092,0.0071092
75,1324.82,0.39503,0.72055,0.01076,0.78808,0.7021,0.78024,0.77395,0.17587,0.90709,0.00822,0.0070696,0.0070696,0.0070696
76,1342.28,0.37501,0.69702,0.01031,0.59615,0.73352,0.74432,0.70753,0.36033,1.09159,0.01702,0.00703,0.00703,0.00703
77,1359.92,0.38076,0.74707,0.01056,0.76926,0.78158,0.8245,0.76044,0.41717,0.75526,0.02005,0.0069904,0.0069904,0.0069904
78,1377.41,0.38133,0.74042,0.01048,0.74892,0.70244,0.78994,0.72605,0.41342,0.84466,0.01978,0.0069508,0.0069508,0.0069508
79,1394.91,0.39289,0.73425,0.01101,0.75878,0.68584,0.74619,0.68811,0.4042,0.96135,0.01944,0.0069112,0.0069112,0.0069112
80,1412.41,0.3805,0.68987,0.01062,0.78332,0.67135,0.75468,0.73364,0.26875,1.02889,0.01262,0.0068716,0.0068716,0.0068716
81,1429.92,0.39776,0.71943,0.01121,0.74627,0.77993,0.83809,0.77028,0.4294,0.72034,0.0204,0.006832,0.006832,0.006832
82,1447.72,0.38442,0.74141,0.01073,0.79921,0.77149,0.80697,0.76654,0.33534,0.72688,0.01594,0.0067924,0.0067924,0.0067924
83,1465.23,0.40861,0.75031,0.01128,0.74828,0.71992,0.76494,0.7322,0.29449,0.88837,0.01387,0.0067528,0.0067528,0.0067528
84,1482.73,0.3944,0.74278,0.01086,0.7794,0.72118,0.78623,0.76283,0.29043,0.83718,0.01365,0.0067132,0.0067132,0.0067132
85,1500.17,0.38117,0.73016,0.01061,0.64777,0.76298,0.79076,0.7746,0.25259,0.89132,0.01176,0.0066736,0.0066736,0.0066736
86,1517.61,0.38845,0.72963,0.01064,0.68629,0.75308,0.79983,0.77512,0.27211,0.95955,0.01278,0.006634,0.006634,0.006634
87,1535.21,0.36768,0.71174,0.01007,0.79434,0.77576,0.84374,0.84101,0.19055,0.6609,0.00897,0.0065944,0.0065944,0.0065944
88,1552.8,0.38156,0.7483,0.01063,0.75254,0.68934,0.80091,0.79294,0.28052,0.83222,0.01322,0.0065548,0.0065548,0.0065548
89,1570.2,0.36547,0.69129,0.01008,0.76762,0.73604,0.82517,0.78108,0.34311,0.82085,0.01624,0.0065152,0.0065152,0.0065152
90,1587.6,0.38877,0.72313,0.01072,0.68615,0.83398,0.80821,0.72915,0.47502,0.76796,0.02261,0.0064756,0.0064756,0.0064756
91,1604.99,0.39452,0.74044,0.01097,0.66423,0.68936,0.72117,0.65798,0.43069,1.08722,0.02069,0.006436,0.006436,0.006436
92,1622.68,0.37619,0.69749,0.01036,0.75829,0.77422,0.84458,0.82032,0.265,0.80336,0.01254,0.0063964,0.0063964,0.0063964
93,1640.09,0.37879,0.71078,0.01059,0.71522,0.8448,0.84621,0.82074,0.29135,0.69444,0.01374,0.0063568,0.0063568,0.0063568
94,1657.54,0.36195,0.68973,0.00993,0.7662,0.71111,0.76134,0.75679,0.2313,0.86639,0.0109,0.0063172,0.0063172,0.0063172
95,1675.06,0.34098,0.6716,0.00927,0.72727,0.75043,0.77617,0.76137,0.24324,0.92008,0.01136,0.0062776,0.0062776,0.0062776
96,1692.57,0.37925,0.69631,0.01047,0.67585,0.74627,0.75423,0.74612,0.21207,0.93822,0.00991,0.006238,0.006238,0.006238
97,1710.09,0.36608,0.65317,0.00981,0.70479,0.7407,0.77786,0.73482,0.36302,0.89272,0.01729,0.0061984,0.0061984,0.0061984
98,1727.71,0.35819,0.63981,0.00983,0.80577,0.69751,0.80436,0.73558,0.42449,0.85769,0.02018,0.0061588,0.0061588,0.0061588
99,1745.21,0.38069,0.70989,0.01047,0.7854,0.75572,0.83205,0.80631,0.30833,0.75774,0.01464,0.0061192,0.0061192,0.0061192
100,1762.68,0.3726,0.67769,0.01007,0.80248,0.67523,0.76651,0.75773,0.25364,1.05177,0.01204,0.0060796,0.0060796,0.0060796
101,1780.2,0.35234,0.70364,0.00969,0.74912,0.749,0.81213,0.80131,0.2158,0.86847,0.01021,0.00604,0.00604,0.00604
102,1798.3,0.35225,0.65666,0.00955,0.74257,0.83234,0.83882,0.82954,0.22908,0.74021,0.01077,0.0060004,0.0060004,0.0060004
